Map Label,Market,Data Center,Latitude,Longitude,Selected,Status,State,Source File
,Not selected,Stak Energy Data Center,69.90071,-148.81477,False,Proposed,AK,Data_Centers_Database.xlsx
,Not selected,Prudhoe Bay Data Center,70.18478,-148.44,False,Operating,AK,Data_Centers_Database.xlsx
,Not selected,Grant County Data Center,34.3065,-92.4045,False,Proposed,AK,Data_Centers_Database.xlsx
,Not selected,Project Marvel,33.342,-87.0341,False,Proposed,AL,Data_Centers_Database.xlsx
,Not selected,BHM01 Nebius Data Center,33.42746,-86.88143,False,Proposed,AL,Data_Centers_Database.xlsx
,Not selected,DC Blox,33.50051,-86.821,False,Operating,AL,Data_Centers_Database.xlsx
,Not selected,Google Data Center,34.92019,-85.7446,False,Operating,AL,Data_Centers_Database.xlsx
,Not selected,Western Hospitality Partners Data Center,33.34088,-86.336205,False,Proposed,AL,Data_Centers_Database.xlsx
,Not selected,DC Blox,34.71003,-86.693,False,Operating,AL,Data_Centers_Database.xlsx
,Not selected,Meta Data Center,34.84065,-86.6295,False,Operating,AL,Data_Centers_Database.xlsx
,Not selected,Meta Data Center,32.27604,-86.3287,False,Approved/Permitted/Under construction,AL,Data_Centers_Database.xlsx
,Not selected,Wilsonville Data Center,33.257,-86.495,False,Proposed,AL,Data_Centers_Database.xlsx
,Not selected,Clarksville Data Center,35.454384,-93.44725,False,Proposed,AR,Data_Centers_Database.xlsx
,Not selected,Harrison Data Center,36.21472,-93.0786,False,Operating,AR,Data_Centers_Database.xlsx
,Not selected,Avaio Digital Leo,34.618,-92.26808,False,Proposed,AR,Data_Centers_Database.xlsx
,Not selected,Data center,34.71681,-92.1737,False,Proposed,AR,Data_Centers_Database.xlsx
,Not selected,ForgeLight Ventures Data Center,35.01258,-92.55369,False,Proposed,AR,Data_Centers_Database.xlsx
,Not selected,Brightspeed Data Center,35.27746,-93.1372,False,Operating,AR,Data_Centers_Database.xlsx
,Not selected,Groot LLC/ Google,35.11835,-90.2123,False,Approved/Permitted/Under construction,AR,Data_Centers_Database.xlsx
,Not selected,Maricopa Data Center,33.192265,-112.67318,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,H5 Data Center,33.27716,-111.886,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,Compass Data Center,33.44123,-112.377,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,Microsoft Data Center,33.410748,-112.36683,False,Expanding,AZ,Data_Centers_Database.xlsx
,Not selected,Stream Data Center,33.41965,-112.35942,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,Vantage Data Center,33.44718,-112.373,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,Vintage Partners ,33.421955,-112.19218,False,Cancelled,AZ,Data_Centers_Database.xlsx
,Not selected,Project Blue Marana,32.4929,-111.28652,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Apple Data Center,33.3471,-111.604,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,Edged Mesa Data Center,33.335518,-111.64406,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,Mesa Amazon Data Center 1,33.29757,-111.607,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Mesa Amazon Data Center 2,33.34263,-111.604,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Meta Data Center,33.35076,-111.67,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,NTT Data Center,33.29556,-111.614,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,NTT Data Center,33.35061,-111.61,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,Page Data Center,36.898376,-111.483154,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Aligned,33.65898,-112.111,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,Expedient Data Center,33.56452,-112.112,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,PHX1,33.56456,-112.112,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,QTS,33.46237,-111.996,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,QTS,33.45193,-112.072,False,Operating,AZ,Data_Centers_Database.xlsx
,Not selected,Tract Phoenix Data Center,33.41019,-112.713,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,MD-PHX1 Data Center,33.31197,-111.97816,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Vermaland Data Center,32.55145,-111.452,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Prime Data Center,33.41237,-112.30683,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,Arizona Land Consulting Co.,33.49648,-112.775,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Data center: Davis-Monthan Air Force Base,32.164318,-110.86484,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Project Blue Tucson,32.05091,-110.783,False,Cancelled,AZ,Data_Centers_Database.xlsx
,Not selected,Aligned Data Centers Waddell Campus,33.57577,-112.45042,False,Approved/Permitted/Under construction,AZ,Data_Centers_Database.xlsx
,Not selected,Takanock Data Center/Project Baccara,33.56755,-112.37177,False,Proposed,AZ,Data_Centers_Database.xlsx
,Not selected,Guadalupe Quarry Redevelopment Project Data Center,37.68586,-122.416,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Coachella Valley Technology Campus,33.6714,-116.129,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Edwards AFB Data Center,34.912052,-117.93109,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,AWS Gilroy,37.018684,-121.56053,False,Approved/Permitted/Under construction,CA,Data_Centers_Database.xlsx
,Not selected,Imperial Data Center Project,32.81923,-115.56083,False,Approved/Permitted/Under construction,CA,Data_Centers_Database.xlsx
,Not selected,Buena Vista Biomass Power site Data Center,38.277733,-120.91554,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Monterey Park Data Center,34.04039,-118.11365,False,Suspended,CA,Data_Centers_Database.xlsx
,Not selected,ECL,37.39589,-122.047,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,AWS,34.16684,-118.08752,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,AVAIO Perseus Data Center,38.012596,-121.90993,False,Approved/Permitted/Under construction,CA,Data_Centers_Database.xlsx
,Not selected,EdgeConneX Edge Data Center,38.59231,-121.277,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,Equinix,37.23319,-121.78072,False,Approved/Permitted/Under construction,CA,Data_Centers_Database.xlsx
,Not selected,LBA Realty Data Center,37.381,-121.935,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Microsoft Alviso Data Center,37.42374,-121.926254,False,Approved/Permitted/Under construction,CA,Data_Centers_Database.xlsx
,Not selected,Prologis,37.423885,-121.94313,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Colovore,37.37668,-121.953,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,Colovore,37.37739,-121.953,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,CoreSite SV9,37.37492,-121.969,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Digital Realty SJC14,37.37578,-121.95516,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Digital Realty SJC37 Data Center,37.371067,-121.94693,False,Approved/Permitted/Under construction,CA,Data_Centers_Database.xlsx
,Not selected,EdgeConneX Edge Data Center Santa Clara,37.36431,-121.959,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,EdgeCore Data Center,37.38413,-121.965744,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,Walsh Bowers Technology Center: CoreSite,37.37316,-121.976166,False,Expanding,CA,Data_Centers_Database.xlsx
,Not selected,Nautilus Data Technology,37.96411,-121.369,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,Cerebras Systems Data Center,37.38112,-121.993,False,Operating,CA,Data_Centers_Database.xlsx
,Not selected,Menlo Equities Data Centere,37.400707,-122.03299,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,Digital Data Center,34.00368,-118.229675,False,Proposed,CA,Data_Centers_Database.xlsx
,Not selected,DEN1,39.58275,-104.841,False,Operating,CO,Data_Centers_Database.xlsx
,Not selected,Colorado Springs Data Center,38.99734,-104.792,False,Operating,CO,Data_Centers_Database.xlsx
,Not selected,Project Taurus,38.893997,-104.85778,False,Proposed,CO,Data_Centers_Database.xlsx
,Not selected,CoreSite DE1 Data Center,39.74566,-104.99561,False,Operating,CO,Data_Centers_Database.xlsx
,Not selected,CoreSite DE2 Data Center,39.745472,-104.97931,False,Operating,CO,Data_Centers_Database.xlsx
,Not selected,CoreSite DE3 Data Center,39.785824,-104.962845,False,Approved/Permitted/Under construction,CO,Data_Centers_Database.xlsx
,Not selected,Cielo Digital Infrastructure,40.09549,-104.609,False,Proposed,CO,Data_Centers_Database.xlsx
,Not selected,Sterling Data Center,40.85,-103.45,False,Proposed,CO,Data_Centers_Database.xlsx
,Not selected,Global AI,40.458607,-104.87199,False,Proposed,CO,Data_Centers_Database.xlsx
,Not selected,Atlas Capital Group,41.88474,-72.7435,False,Proposed,CT,Data_Centers_Database.xlsx
,Not selected,GotSpace Data Center,41.5586,-72.1706,False,Proposed,CT,Data_Centers_Database.xlsx
,Not selected,NE Edge Data Center,41.31387,-72.1673,False,Proposed,CT,Data_Centers_Database.xlsx
,Not selected,Starwood Digital Ventures,39.60745,-75.6397,False,Suspended,DE,Data_Centers_Database.xlsx
